exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note,yk_min,yk_max,yt_min,yt_max,delta_range_obs,delta_mse_obs,delta_mae_obs,delta_rmse_obs,delta_max_obs,keras_ms_observed,tflite_ms_observed,n_windows_eval,repr_out_min,repr_out_max,repr_out_width,lsb_out,sat_lo_cnt,sat_hi_cnt,delta_rmse
mt1000_b0p35,1000,0.35,1000,141.99,0.405,0.02,0.1733995,0.2479467,2.699536,0.17049096524715424,-20,0.05181054025888443,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p35/tflite/model_int8_full.tflite,OK,,-1.535752534866333,1.5248284339904785,-2.590527057647705,2.020611047744751,1.5505571365356445,0.4279722273349762,0.49265193939208984,0.6541958631289074,2.6994833946228027,0.7649362087249756,0.030040740966796875,64.0,-9.895813189446926,3.3158745765686035,13.21168776601553,0.05181054025888443,0.0,0.0,0.4164126559075745
mt1000_b0p4,1000,0.4,1000,141.99,0.48,0.019,0.1738674,0.2475435,2.538461,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p4/tflite/model_int8_full.tflite,OK,,-1.5956339836120605,1.499745488166809,-2.4887561798095703,2.1258127689361572,1.519189476966858,0.3942038416862488,0.45941877365112305,0.6278565454673932,2.3735437393188477,0.7795803248882294,0.029869377613067627,64.0,-9.903176106512547,3.3183417320251465,13.221517838537693,0.051849089562892914,0.0,0.0,0.41697409991509066
mt1000_b0p45,1000,0.45,1000,141.99,0.392,0.02,0.1459959,0.2211165,2.211843,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p45/tflite/model_int8_full.tflite,OK,,-1.5932989120483398,1.4131299257278442,-2.3850581645965576,2.0221145153045654,1.400743842124939,0.4468630850315094,0.5012842416763306,0.6684781859055009,2.395069122314453,0.7756985723972321,0.02969801425933838,64.0,-9.903176106512547,3.3183417320251465,13.221517838537693,0.051849089562892914,0.0,0.0,0.382094098357983
mt1000_b0p5,1000,0.5,1000,141.99,0.487,0.02,0.1222,0.1991796,2.360709,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p5/tflite/model_int8_full.tflite,OK,,-1.6023859977722168,1.483157992362976,-2.8516998291015625,2.3850581645965576,2.1512140035629272,0.45923328399658203,0.506121039390564,0.6776675320513608,2.4385299682617188,0.7606931030750275,0.03014877438545227,64.0,-9.903176106512547,3.3183417320251465,13.221517838537693,0.051849089562892914,0.0,0.0,0.3495711658589707
mt1000_b0p55,1000,0.55,1000,141.99,0.558,0.019,0.1142245,0.1825851,2.51314,0.17049096524715424,-20,0.0520002581179142,62,qbench_sweep_20251027_165731/experiments/mt1000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p55/tflite/model_int8_full.tflite,OK,,-1.595257043838501,1.48960542678833,-2.4960124492645264,2.392011880874634,1.803161859512329,0.43068522214889526,0.4899901747703552,0.6562661214392339,2.7488341331481934,0.7704049348831177,0.030934810638427734,64.0,-9.880049042403698,3.380016777664423,13.260065820068121,0.0520002581179142,0.0,0.0,0.3379711526151308
mt1000_b0p6,1000,0.6,1000,141.99,0.553,0.02,0.09314787,0.1608125,2.342301,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt1000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p6/tflite/model_int8_full.tflite,OK,,-1.3635048866271973,1.551928997039795,-2.756296396255493,2.2362403869628906,2.0771028995513916,0.3845232129096985,0.4657649099826813,0.6200993572885707,2.4333088397979736,0.7727481424808502,0.03018975257873535,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.30520135976106005
mt2000_b0p25,2000,0.25,2000,141.99,0.517,0.02,0.2257926,0.3157119,2.596591,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt2000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p25/tflite/model_int8_full.tflite,OK,,-1.4897866249084473,1.6227108240127563,-2.4887561798095703,2.1258127689361572,1.502071499824524,0.3859978914260864,0.47977858781814575,0.6212872857431467,2.106741428375244,0.7602833211421967,0.030450522899627686,64.0,-9.903176106512547,3.3183417320251465,13.221517838537693,0.051849089562892914,0.0,0.0,0.47517638830228087
mt2000_b0p3,2000,0.3,2000,141.99,0.552,0.02,0.2014679,0.2909464,2.540409,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p3/tflite/model_int8_full.tflite,OK,,-1.4347710609436035,1.6129709482192993,-2.4962685108184814,2.080223798751831,1.5287503004074097,0.37449005246162415,0.4766034185886383,0.6119559236265502,2.046825885772705,0.7687769830226898,0.03032386302947998,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.4488517572651354
mt2000_b0p35,2000,0.35,2000,141.99,0.552,0.019,0.1783281,0.267263,2.621047,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p35/tflite/model_int8_full.tflite,OK,,-1.422628402709961,1.6191110610961914,-2.3402516841888428,2.1322293281555176,1.430741548538208,0.3896898925304413,0.4830660820007324,0.6242514657815721,2.5139455795288086,0.7741115987300873,0.030376017093658447,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.42228911896945676
mt2000_b0p4,2000,0.4,2000,141.99,0.398,0.019,0.1755624,0.2603473,2.72135,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p4/tflite/model_int8_full.tflite,OK,,-1.470841407775879,1.629787802696228,-2.756296396255493,2.2882461547851562,1.9439133405685425,0.37843427062034607,0.47391653060913086,0.6151701151879422,2.229766845703125,0.7619336247444153,0.030472874641418457,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.4190016706410608
