exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note
mt4000_b0p45,4000,0.45,4000,141.99,0.552,0.021,0.2063235,0.3085979,2.269405,1.6012954711914062,-117,0.05229068174958229,61,qbench_sweep_20251027_165731/experiments/mt4000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p45/tflite/model_int8_full.tflite,OK,
mt4000_b0p5,4000,0.5,4000,141.99,0.556,0.021,0.2437963,0.3290761,2.797929,1.6012954711914062,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p5/tflite/model_int8_full.tflite,OK,
mt4000_b0p55,4000,0.55,4000,141.99,0.552,0.022,0.2297484,0.3259656,2.600241,1.6012954711914062,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p55/tflite/model_int8_full.tflite,OK,
mt4000_b0p6,4000,0.6,4000,141.99,0.551,0.022,0.2403953,0.3229198,2.613358,1.6568186283111572,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p6/tflite/model_int8_full.tflite,OK,
mt5000_b0p25,5000,0.25,5000,141.99,0.409,0.019,0.2170416,0.3091803,2.774701,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt5000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p25/tflite/model_int8_full.tflite,OK,
mt5000_b0p3,5000,0.3,5000,141.99,0.545,0.02,0.2169061,0.3075434,2.865862,0.22936174273490906,-48,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p3/tflite/model_int8_full.tflite,OK,
mt5000_b0p35,5000,0.35,5000,141.99,0.543,0.02,0.195663,0.2830388,2.735847,0.22936174273490906,-48,0.05218496918678284,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p35/tflite/model_int8_full.tflite,OK,
mt5000_b0p4,5000,0.4,5000,141.99,0.404,0.02,0.1669615,0.262193,2.254349,0.17049096524715424,-20,0.05238170921802521,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p4/tflite/model_int8_full.tflite,OK,
mt5000_b0p45,5000,0.45,5000,141.99,0.404,0.02,0.1664216,0.258626,2.679115,0.21605204045772552,-43,0.052654948085546494,60,qbench_sweep_20251027_165731/experiments/mt5000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p45/tflite/model_int8_full.tflite,OK,
mt5000_b0p5,5000,0.5,5000,141.99,0.55,0.02,0.2160462,0.3135567,2.256557,1.6568186283111572,-117,0.053418952971696854,57,qbench_sweep_20251027_165731/experiments/mt5000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p5/tflite/model_int8_full.tflite,OK,
